sampleID	17_AAG	5_FU	5_FdUR	AG1024	AG1478	AS_252424	AZD6244	Age	BEZ235	BIBW2992	Bortezomib	Bosutinib	CGC_11047	CGC_11144	CPT_11	Carboplatin	Cisplatin	Docetaxel	Doxorubicin	ER	ER_ICR	Epirubicin	Erlotinib	Ethnicity	Etoposide	Fascaplysin	GSK1059615	GSK1070916	GSK1120212	GSK1487371	GSK1838705	GSK2119563	GSK2126458	GSK461364	GSK923295	Gefitinib	Geldanamycin	Gemcitabine	Gene_Cluster	Glycyl_H_1152	HER2_ICR	Her2	ICRF_193	Ibandronate_sodium_salt	Ispinesib	Ixabepilone	LBH589	L_779450	Lapatinib	Lestaurtinib	MLN4924	Methotrexate	NSC_663284	NU6102	Nutlin_3a	Oxaliplatin	Oxamflatin	PD173074	PD_98059	PR	PR_ICR	Paclitaxel	Pemetrexed	Purvalanol_A	Rapamycin	SB_3CT	Sigma_AKT1_2_inhibitor	Sorafenib	Sub_type_ICR	Sunitinib_Malate	TCS_2312_dihydrochloride	TCS_JNK_5a	TGX_221	TP53	TPCA_1	Tamoxifen	Temsirolimus	Tissue_Source	Topotecan	Trichostatin_A	Triciribine	Tumor_Type	VX_680	Vinorelbine	Vorinostat	XRP44X	ZM_447439	_INTEGRATION	_PATIENT	classification_group	sampleName_ICR	_GENOMIC_ID_grayBreastCellLineSNPSeg_hugo	_GENOMIC_ID_grayBreastCellLineExon	_GENOMIC_ID_grayBreastCellLineSNPSeg
184A1N4																																																																																								184A1N4	184A1N4				184A1N4	
184B5																																																																																								184B5	184B5	N, Basal A			184B5	
600MPE	6.87		4.11		3.99						6.37	5.05	3.33	6.49	4.68	3.82	4.33	7.01	6.57	+		6.46	4.28		5.01	6.54	6.31	5.10	8.17		6.49	6.23	8.22	5.16	4.48	5.14	7.41	7.64	Lu			-			7.68	5.28	6.73		4.78	5.77	6.43	3.78	5.34		4.32	4.89		5.01	4.30	-		7.18		4.52				4.34		5.37	6.22		5.09	-	4.18	4.32	4.74			5.18	5.43	IDC		5.29	4.15			600MPE	600MPE	Lu		600MPE	600MPE	600MPE
AU565	7.25	4.97	5.18	4.48	4.57	4.87		43	6.59		8.28	5.67	3.54	6.31	5.91	4.94	5.73	8.28	7.03	-		6.84	4.88	White	6.17	6.92	6.32	5.52	4.82	5.89	5.63	6.25	8.10	8.35	7.62	5.97	7.29	7.81	Lu	5.14		+	6.14	3.74	7.65	8.37	6.98	4.48	6.40	6.07	6.74	3.78	5.81	4.64	4.79	5.55	6.19	5.13	5.12	-		8.09	2.53	5.01	7.50	4.00	5.61	3.75		5.42	6.56		5.18	+	4.18	4.54	7.00	PE	7.73	5.43	6.80	AC	5.66	8.06	4.08	6.35	5.82	AU565	AU565	Lu		AU565	AU565	AU565
BT20		3.49		4.48		4.65	4.30	74	5.42	5.56	7.33	5.86		6.52						-	NEG		5.70	White	5.48	6.51				4.18	4.63	5.97	7.80						BaA	5.15	Not_AMP	-	4.38	4.69	7.77	8.09	6.41	4.44	4.78	5.49	5.56	3.48	5.48	4.23	4.47		5.42	4.80	4.04	-	NEG			4.56	7.87	4.42	5.00	4.20	BASAL	4.78	5.70	5.97	4.77	+	4.36		6.11	P.Br		4.81	5.26	IDC	4.72		3.72	5.29	5.29	BT20	BT20	BaA	BT20	BT20	BT20	BT20
BT474	7.69	3.29	3.17	4.48	6.17	5.36	4.30	60	6.46	8.23	8.13	6.14	3.57	6.02	4.11	3.98	4.48	8.20	6.51	+	POS	5.17	4.98	White	4.72	6.72	6.80	5.19	4.78		5.08	6.82	8.36	5.07	5.42	6.14	7.84	3.98	Lu	4.18	AMP	-	4.30	3.98	7.29	8.08	7.46	4.73	6.40	6.61	6.24	3.48	5.56	4.56	4.39	4.73	6.57	4.48	4.00	+	POS	7.99	2.53	3.78	7.82	4.99	6.08	4.00	Luminal	4.77	6.21	4.17	5.10	+	4.18	5.62	7.87	P.Br	5.60	5.00	6.40	IDC	4.54	7.32	4.26	5.34	4.20	BT474	BT474	Lu	BT474	BT474	BT474	BT474
BT483	6.65	4.13	4.48	4.48	5.64	5.37	4.30	23	4.95	5.78	7.71	5.45	3.23	6.25	5.33	5.82	3.59	7.63	6.82	+		6.78	4.18	White	5.37	7.18		5.35	4.78	5.57	5.52	7.47	8.94	5.35	6.44	5.21	6.84	8.05	Lu	4.35		-		4.24	10.31	5.27	7.14	4.84	4.78	6.13	4.48		6.02	4.18	5.19	4.56	6.15		4.12	+		7.46	2.53	4.40	8.78	4.59	6.08	4.93		4.73	6.18	5.94	5.37	-		4.62	4.18	P.Br	7.79	5.00	6.91	IDC/pap	5.44	8.14	4.23	4.18	4.57	BT483	BT483	Lu		BT483	BT483	BT483
BT549	7.47		3.74	4.48	4.41			72			8.22		4.53	6.65		4.58	5.42			-		6.69	4.38	White	5.86	6.29	5.73		5.17	5.45	5.21	5.38	7.32			4.82	8.26	8.17	BaB			-			7.33	8.22			4.78			3.48			4.35	5.72		5.13		-			2.53	3.78	4.48			3.92		5.29			4.62	+	4.18	3.78		P.Br		5.13	4.23	IDC/pap		8.02	3.83			BT549	BT549	BaB		BT549	BT549	BT549
CAMA1	6.57	3.92	3.51	4.48	4.46	4.18	4.30	51	4.78	5.65	7.78	5.49	2.90	6.40	4.84	3.72	4.39	8.25	6.58	+			4.18	White	5.30	6.61	5.77	5.05	4.78	5.59	5.05	4.61	6.97	5.17	7.33	4.57	7.10	6.57	Lu	5.09		-	4.30	3.79	7.50	9.00	7.21	4.44	4.78	5.65	7.29	7.10	5.58	4.91	4.30	5.02	6.27		4.65	-		7.95	2.83	3.86	7.82	4.00	5.59	4.02		5.06	6.25	5.48	5.10	+		4.46	7.36	PE	6.40	5.57	5.16	AC	4.58	7.88	4.18	6.27	5.40	CAMA1	CAMA1	Lu		CAMA1	CAMA1	CAMA1
HCC1143	6.86	4.02	3.69	4.58	3.78			52		5.86	8.07	5.31	3.95	6.88	4.88	3.85	5.04	7.96	6.28	-	NEG	6.54	4.24	White	5.29	6.56	6.26	5.51			5.55	5.48	7.43	7.13	6.77	4.93	7.09	7.89	BaA	4.80	Not_AMP	-	4.30	4.36	7.29	8.01	7.08	4.39	4.78	6.48	6.61	7.62	5.70	4.87	4.67	4.69	6.28	4.87	4.00	-	NEG	7.77	2.53	3.78		4.00	4.87	4.23	BASAL	5.16	6.47	4.21	4.48	+	5.07	4.79	5.80	P.Br	6.59	4.77	4.94	Duc.Ca	5.98	6.58	3.90		4.98	HCC1143	HCC1143	BaA	HCC1143	HCC1143	HCC1143	HCC1143
